City Name,Temperature,Humidity,Cloudiness,Wind Speed,Country,Latitude,Longitude,Date
Kavaratti,84.82,100,0,7.74,IN,10.57,72.64,1554922030
San Andres,81.94,100,100,4.94,PH,13.32,122.68,1554922206
Alofi,73.4,100,64,8.63,NU,-19.06,-169.92,1554919200
Butaritari,80.86,100,80,12.33,KI,3.07,172.79,1554921995
Cooma,28.4,100,0,2.26,AU,-36.24,149.13,1554919200
Simplicio Mendes,74.47,100,88,3.04,BR,-7.85,-41.91,1554922173
Padang,80.77,100,76,2.26,ID,-0.92,100.36,1554922224
Sambava,83.29,100,48,17.69,MG,-14.27,50.17,1554922145
Kavieng,82.3,100,76,0.92,PG,-2.57,150.8,1554922002
Bloemhof,58.81,100,64,9.64,ZA,-27.65,25.61,1554922140
Provideniya,18.49,100,76,4.61,RU,64.42,-173.23,1554922028
Upernavik,17.59,100,80,18.48,GL,72.79,-56.15,1554922039
Hithadhoo,83.47,100,32,4.61,MV,-0.6,73.08,1554922126
Anqing,51.52,100,92,9.42,CN,30.51,117.04,1554922125
Mersing,76.54,100,32,2.48,MY,2.43,103.84,1554922207
Sibolga,70.96,100,76,0.36,ID,1.74,98.78,1554922044
Wanning,48.76,100,75,5.82,AT,48.64,13.53,1554921937
Namatanai,81.49,100,44,1.7,PG,-3.66,152.44,1554922180
Bima,76.0,100,68,3.15,ID,-8.45,118.73,1554922180
Hambantota,78.8,100,40,2.24,LK,6.12,81.12,1554919800
Wajima,42.97,100,80,14.79,JP,37.4,136.9,1554922199
Port Lincoln,56.38,100,0,10.65,AU,-34.72,135.86,1554922117
Simoes,72.13,100,88,4.61,BR,-7.6,-40.82,1554922059
Caravelas,80.77,100,68,6.73,BR,-17.73,-39.27,1554921923
Ushibuka,52.42,100,64,15.68,JP,32.19,130.02,1554922195
Bandarbeyla,81.58,100,0,9.31,SO,9.49,50.81,1554922189
Ambilobe,70.78,100,88,3.71,MG,-13.19,49.05,1554922103
Kieta,77.62,100,92,4.05,PG,-6.22,155.63,1554921971
Lorengau,81.85,100,32,0.58,PG,-2.02,147.27,1554922189
Faanui,80.23,100,76,11.77,PF,-16.48,-151.75,1554922087
Dhidhdhoo,85.54,100,0,2.15,MV,6.88,73.1,1554922097
Ryotsu,41.35,100,92,13.22,JP,38.08,138.43,1554921992
Ugoofaaru,85.72,100,0,1.14,MV,5.67,73.0,1554922185
Qaanaaq,13.27,100,44,2.37,GL,77.48,-69.36,1554921977
Meulaboh,80.32,100,76,3.15,ID,4.14,96.13,1554922161
Honiara,71.41,100,92,0.36,SB,-9.43,159.96,1554922168
Maumere,77.89,100,56,1.14,ID,-8.63,122.22,1554922161
Atuona,81.22,100,76,9.19,PF,-9.8,-139.03,1554921976
Dali,48.1,100,20,1.92,CN,25.6,100.24,1554922166
Rikitea,75.1,100,92,20.6,PF,-23.12,-134.97,1554921978
Hasaki,39.87,100,75,14.99,JP,35.73,140.83,1554921742
Timbiqui,81.76,100,20,4.38,CO,2.77,-77.67,1554922160
Port Blair,85.54,99,0,2.82,IN,11.67,92.75,1554922069
Dikson,10.66,99,64,12.66,RU,73.51,80.55,1554921978
Gisborne,50.0,99,8,6.51,NZ,-38.66,178.02,1554921608
Wanxian,51.52,98,92,3.04,CN,30.8,108.39,1554922196
Sanming,65.2,98,92,0.69,CN,26.24,117.6,1554922059
Manuk Mangkaw,83.92,98,8,11.21,PH,4.8,119.85,1554922069
Bantou,65.2,98,92,0.69,CN,26.22,117.49,1554922148
Namibe,76.09,98,0,14.79,AO,-15.19,12.15,1554922016
Beringovskiy,14.62,98,80,10.09,RU,63.05,179.32,1554921987
Tocopilla,66.82,98,12,4.61,CL,-22.09,-70.2,1554922128
Robertsport,83.2,98,0,7.63,LR,6.75,-11.37,1554922105
Pontianak,79.33,98,88,1.92,ID,-0.02,109.34,1554922057
Corn Island,81.85,98,0,5.73,NI,12.17,-83.04,1554922121
Furukawa,33.34,98,92,10.42,JP,38.57,140.96,1554922101
Tuy Hoa,73.75,98,20,1.92,VN,13.08,109.3,1554922230
Biak,79.15,98,8,2.04,ID,-0.91,122.88,1554922015
Lavrentiya,13.45,98,48,7.74,RU,65.58,-170.99,1554921997
Sabang,78.25,97,68,5.28,PH,13.72,123.58,1554922031
Sinnamary,79.6,97,92,8.75,GF,5.38,-52.96,1554922146
Kapit,72.22,97,92,2.37,MY,2.02,112.94,1554922018
Finschhafen,73.12,97,80,0.81,PG,-6.6,147.85,1554922131
Dongsheng,49.99,97,92,5.95,CN,29.72,112.52,1554922016
San Policarpo,79.33,97,92,8.97,PH,12.18,125.51,1554922152
